vvadd,1977,443,28,1490,40
median,3361,1042,578,2921,1650
rsort,75989,12362,671,39135,2608
spmv,17581,1758,1315,2529,1720
multiply,788,265,209,528,404
qsort,56200,20012,3348,29021,6429
dhrystone,47981,8936,8856,37187,26120
towers,3524,53,44,292,283
